HGNC symbol,GO term name
NPC1,extracellular region
NPC1,lipid metabolic process
NPC1,endoplasmic reticulum
NPC1,plasma membrane
NPC1,endosome
NPC1,lysosome
NPC1,lysosomal membrane
NPC1,nuclear envelope
NPC1,steroid metabolic process
NPC1,cholesterol metabolic process
NPC1,lipid transport
NPC1,protein binding
NPC1,perinuclear region of cytoplasm
NPC1,late endosome membrane
NPC1,establishment of protein localization to membrane
NPC1,cholesterol transport
NPC1,negative regulation of TORC1 signaling
NPC1,extracellular exosome
NPC1,autophagy
NPC1,signaling receptor activity
NPC1,transmembrane signaling receptor activity
NPC1,virus receptor activity
NPC1,sterol transporter activity
NPC1,cholesterol binding
NPC1,liver development
NPC1,protein glycosylation
NPC1,endocytosis
NPC1,lysosomal transport
NPC1,adult walking behavior
NPC1,bile acid metabolic process
NPC1,response to xenobiotic stimulus
NPC1,gene expression
NPC1,cholesterol storage
NPC1,programmed cell death
NPC1,sterol transport
NPC1,sterol metabolic process
NPC1,macroautophagy
NPC1,negative regulation of macroautophagy
NPC1,neurogenesis
NPC1,intestinal cholesterol absorption
NPC1,membrane raft organization
NPC1,intracellular cholesterol transport
NPC1,cholesterol efflux
NPC1,cholesterol homeostasis
NPC1,response to cadmium ion
NPC1,viral entry into host cell
NPC1,establishment of localization in cell
NPC1,cellular response to steroid hormone stimulus
NPC1,cellular response to low-density lipoprotein particle stimulus
NPC1,negative regulation of epithelial cell apoptotic process
NPC1,cyclodextrin metabolic process
NPC1,Golgi apparatus
NPC1,vesicle
NPC1,membrane raft
NPC1,
NPC1L1,membrane
NPC1L1,lipid metabolic process
NPC1L1,cytoplasmic vesicle membrane
NPC1L1,cytoplasmic vesicle
NPC1L1,plasma membrane
NPC1L1,protein homodimerization activity
NPC1L1,steroid metabolic process
NPC1L1,cholesterol metabolic process
NPC1L1,apical plasma membrane
NPC1L1,vitamin transport
NPC1L1,protein binding
NPC1L1,cholesterol transport
NPC1L1,small GTPase binding
NPC1L1,myosin V binding
NPC1L1,cholesterol binding
NPC1L1,intestinal cholesterol absorption
NPC1L1,cholesterol homeostasis
NPC1L1,vitamin E binding
NPC1L1,vitamin E metabolic process
NPC1L1,cholesterol biosynthetic process
NPC1L1,lipoprotein metabolic process
NPC1L1,cellular response to sterol depletion
NPC1L1,lipid transporter activity
NPC1L1,heterocyclic compound binding
NPC1L1,response to xenobiotic stimulus
NPC1L1,response to muscle activity
NPC1L1,cholesterol import
NPC1L1,brush border membrane
RHAG,membrane
RHAG,plasma membrane
RHAG,ammonium transmembrane transporter activity
RHAG,ammonium transmembrane transport
RHAG,protein binding
RHAG,inorganic cation transmembrane transport
RHAG,
RHAG,bicarbonate transport
RHAG,ammonium homeostasis
RHAG,carbon dioxide transmembrane transporter activity
RHAG,carbon dioxide transport
RHAG,carbon dioxide transmembrane transport
RHAG,methylammonium transmembrane transporter activity
RHAG,leak channel activity
RHAG,ankyrin binding
RHAG,cellular monoatomic ion homeostasis
RHAG,erythrocyte development
RHAG,multicellular organismal iron ion homeostasis
RHAG,methylammonium transmembrane transport
RHBG,membrane
RHBG,plasma membrane
RHBG,ammonium transmembrane transporter activity
RHBG,ammonium transmembrane transport
RHBG,basolateral plasma membrane
RHBG,ammonium homeostasis
RHBG,carbon dioxide transmembrane transporter activity
RHBG,transepithelial ammonium transport
RHBG,ankyrin binding
RHBG,spectrin-associated cytoskeleton
RHBG,carbon dioxide transmembrane transport
RHBG,
RHCG,membrane
RHCG,plasma membrane
RHCG,ammonium transmembrane transporter activity
RHCG,ammonium transmembrane transport
RHCG,cytoplasmic vesicle
RHCG,protein binding
RHCG,apical plasma membrane
RHCG,basolateral plasma membrane
RHCG,identical protein binding
RHCG,extracellular exosome
RHCG,epithelial cell differentiation
RHCG,homeostatic process
RHCG,amine transport
RHCG,ammonium homeostasis
RHCG,carbon dioxide transmembrane transporter activity
RHCG,transepithelial ammonium transport
RHCG,ankyrin binding
RHCG,cellular monoatomic ion homeostasis
RHCG,carbon dioxide transmembrane transport
RHCG,regulation of pH
RHCG,
SFXN1,membrane
SFXN1,monoatomic ion transport
SFXN1,transmembrane transport
SFXN1,monoatomic ion transmembrane transporter activity
SFXN1,monoatomic ion transmembrane transport
SFXN1,mitochondrion
SFXN1,amino acid transport
SFXN1,mitochondrial inner membrane
SFXN1,one-carbon metabolic process
SFXN1,protein binding
SFXN1,L-alanine transmembrane transporter activity
SFXN1,L-serine transmembrane transporter activity
SFXN1,L-alanine transport
SFXN1,L-serine transport
SFXN1,serine transmembrane transporter activity
SFXN1,serine import into mitochondrion
SFXN1,iron ion transport
SFXN1,erythrocyte differentiation
SFXN1,
SFXN2,membrane
SFXN2,monoatomic ion transport
SFXN2,transmembrane transport
SFXN2,monoatomic ion transmembrane transporter activity
SFXN2,monoatomic ion transmembrane transport
SFXN2,mitochondrion
SFXN2,amino acid transport
SFXN2,
SFXN2,mitochondrial inner membrane
SFXN2,mitochondrial outer membrane
SFXN2,protein binding
SFXN2,mitochondrial transmembrane transport
SFXN2,serine transmembrane transporter activity
SFXN2,serine import into mitochondrion
SFXN3,membrane
SFXN3,monoatomic ion transport
SFXN3,transmembrane transport
SFXN3,monoatomic ion transmembrane transporter activity
SFXN3,monoatomic ion transmembrane transport
SFXN3,mitochondrion
SFXN3,one-carbon metabolic process
SFXN3,protein binding
SFXN3,mitochondrial membrane
SFXN3,amino acid transport
SFXN3,mitochondrial transmembrane transport
SFXN3,serine transmembrane transporter activity
SFXN3,serine import into mitochondrion
SFXN3,
SFXN4,
SFXN4,membrane
SFXN4,monoatomic ion transport
SFXN4,transmembrane transport
SFXN4,monoatomic ion transmembrane transporter activity
SFXN4,intracellular membrane-bounded organelle
SFXN4,nucleoplasm
SFXN4,monoatomic ion transmembrane transport
SFXN4,mitochondrion
SFXN4,mitochondrial inner membrane
SFXN4,amino acid transport
SFXN4,transmembrane transporter activity
SFXN4,mitochondrial transmembrane transport
SFXN5,
SFXN5,membrane
SFXN5,monoatomic ion transport
SFXN5,transmembrane transport
SFXN5,monoatomic ion transmembrane transporter activity
SFXN5,monoatomic ion transmembrane transport
SFXN5,mitochondrion
SFXN5,mitochondrial inner membrane
SFXN5,protein binding
SFXN5,amino acid transport
SFXN5,mitochondrial transmembrane transport
SFXN5,citrate transmembrane transporter activity
SFXN5,citrate transport
SFXN5,positive regulation of cold-induced thermogenesis
SLC10A1,membrane
SLC10A1,plasma membrane
SLC10A1,monoatomic ion transport
SLC10A1,symporter activity
SLC10A1,lipid transport
SLC10A1,protein binding
SLC10A1,sodium ion transport
SLC10A1,transmembrane transport
SLC10A1,basolateral plasma membrane
SLC10A1,viral entry into host cell
SLC10A1,virus receptor activity
SLC10A1,bile acid and bile salt transport
SLC10A1,bile acid:sodium symporter activity
SLC10A1,bile acid transmembrane transporter activity
SLC10A1,response to organic cyclic compound
SLC10A1,response to nutrient levels
SLC10A1,bile acid signaling pathway
SLC10A1,response to estrogen
SLC10A1,response to ethanol
SLC10A1,cellular response to xenobiotic stimulus
SLC10A1,regulation of bile acid secretion
SLC10A2,membrane
SLC10A2,monoatomic ion transport
SLC10A2,symporter activity
SLC10A2,lipid transport
SLC10A2,protein binding
SLC10A2,sodium ion transport
SLC10A2,transmembrane transport
SLC10A2,plasma membrane
SLC10A2,apical plasma membrane
SLC10A2,bile acid and bile salt transport
SLC10A2,bile acid:sodium symporter activity
SLC10A2,response to bacterium
SLC10A2,microvillus
SLC10A3,membrane
SLC10A3,symporter activity
SLC10A3,transmembrane transport
SLC10A3,bile acid:sodium symporter activity
SLC10A3,bile acid and bile salt transport
SLC10A3,response to organic substance
SLC10A3,response to retinoic acid
SLC10A3,
SLC10A4,membrane
SLC10A4,plasma membrane
SLC10A4,monoatomic ion transport
SLC10A4,symporter activity
SLC10A4,protein binding
SLC10A4,sodium ion transport
SLC10A4,transmembrane transport
SLC10A4,bile acid:sodium symporter activity
SLC10A4,bile acid and bile salt transport
SLC10A4,
SLC10A5,membrane
SLC10A5,monoatomic ion transport
SLC10A5,symporter activity
SLC10A5,sodium ion transport
SLC10A5,transmembrane transport
SLC10A5,bile acid:sodium symporter activity
SLC10A5,bile acid and bile salt transport
SLC10A6,membrane
SLC10A6,monoatomic ion transport
SLC10A6,symporter activity
SLC10A6,lipid transport
SLC10A6,protein binding
SLC10A6,sodium ion transport
SLC10A6,plasma membrane
SLC10A6,transmembrane transport
SLC10A6,bile acid:sodium symporter activity
SLC10A6,bile acid and bile salt transport
SLC10A6,sodium-dependent organic anion transmembrane transporter activity
SLC10A6,sodium-dependent organic anion transport
SLC10A6,
SLC10A7,membrane
SLC10A7,Golgi apparatus
SLC10A7,endoplasmic reticulum
SLC10A7,endoplasmic reticulum membrane
SLC10A7,plasma membrane
SLC10A7,monoatomic ion transport
SLC10A7,Golgi membrane
SLC10A7,symporter activity
SLC10A7,sodium ion transport
SLC10A7,trans-Golgi network
SLC10A7,transmembrane transport
SLC10A7,bone development
SLC10A7,cellular calcium ion homeostasis
SLC10A7,heparin biosynthetic process
SLC10A7,Golgi vesicle transport
SLC10A7,cis-Golgi network
SLC10A7,bile acid transmembrane transporter activity
SLC10A7,Golgi medial cisterna
SLC10A7,bile acid and bile salt transport
SLC10A7,glycoprotein transport
SLC10A7,
SLC11A1,
SLC11A1,membrane
SLC11A1,lysosomal membrane
SLC11A1,endosome membrane
SLC11A1,immune response
SLC11A1,late endosome membrane
SLC11A1,metal ion transmembrane transporter activity
SLC11A1,metal ion transport
SLC11A1,transition metal ion transmembrane transporter activity
SLC11A1,molecular_function
SLC11A1,cellular_component
SLC11A1,iron ion transport
SLC11A1,positive regulation of gene expression
SLC11A1,positive regulation of cytokine production
SLC11A1,plasma membrane
SLC11A1,monoatomic ion transport
SLC11A1,endosome
SLC11A1,lysosome
SLC11A1,protein homodimerization activity
SLC11A1,proton transmembrane transport
SLC11A1,response to lipopolysaccharide
SLC11A1,tertiary granule membrane
SLC11A1,iron ion transmembrane transporter activity
SLC11A1,positive regulation of transcription by RNA polymerase II
SLC11A1,positive regulation of type II interferon production
SLC11A1,defense response to Gram-negative bacterium
SLC11A1,positive regulation of dendritic cell antigen processing and presentation
SLC11A1,inflammatory response
SLC11A1,wound healing
SLC11A1,late endosome
SLC11A1,activation of protein kinase activity
SLC11A1,ficolin-1-rich granule membrane
SLC11A1,response to type II interferon
SLC11A1,defense response to bacterium
SLC11A1,response to bacterium
SLC11A1,negative regulation of cytokine production
SLC11A1,cellular iron ion homeostasis
SLC11A1,manganese ion transmembrane transport
SLC11A1,respiratory burst
SLC11A1,antimicrobial humoral response
SLC11A1,multicellular organismal iron ion homeostasis
SLC11A1,macrophage activation
SLC11A1,positive regulation of phagocytosis
SLC11A1,positive regulation of T-helper 1 type immune response
SLC11A1,cell redox homeostasis
SLC11A1,mRNA stabilization
SLC11A1,manganese ion transmembrane transporter activity
SLC11A1,cadmium ion transmembrane transporter activity
SLC11A1,metal cation:proton antiporter activity
SLC11A1,T cell proliferation involved in immune response
SLC11A1,manganese ion transport
SLC11A1,phagocytosis
SLC11A1,vacuolar acidification
SLC11A1,nitrite transport
SLC11A1,defense response to protozoan
SLC11A1,MHC class II biosynthetic process
SLC11A1,antigen processing and presentation of peptide antigen
SLC11A1,establishment of localization in cell
SLC11A1,cadmium ion transmembrane transport
SLC11A1,cellular detoxification of cadmium ion
SLC11A1,L-arginine transmembrane transport
SLC11A1,phagocytic vesicle membrane
SLC11A1,iron ion transmembrane transport
SLC11A2,membrane
SLC11A2,lysosomal membrane
SLC11A2,endosome membrane
SLC11A2,late endosome membrane
SLC11A2,metal ion transmembrane transporter activity
SLC11A2,metal ion transport
SLC11A2,transition metal ion transmembrane transporter activity
SLC11A2,iron ion transport
SLC11A2,cytoplasm
SLC11A2,nucleus
SLC11A2,Golgi apparatus
SLC11A2,cytoplasmic vesicle
SLC11A2,plasma membrane
SLC11A2,monoatomic ion transport
SLC11A2,endosome
SLC11A2,late endosome
SLC11A2,mitochondrion
SLC11A2,lysosome
SLC11A2,mitochondrial outer membrane
SLC11A2,symporter activity
SLC11A2,proton transmembrane transport
SLC11A2,protein binding
SLC11A2,recycling endosome membrane
SLC11A2,trans-Golgi network
SLC11A2,perinuclear region of cytoplasm
SLC11A2,transmembrane transport
SLC11A2,apical plasma membrane
SLC11A2,recycling endosome
SLC11A2,early endosome
SLC11A2,early endosome membrane
SLC11A2,cell surface
SLC11A2,copper ion transmembrane transport
SLC11A2,inorganic cation transmembrane transporter activity
SLC11A2,response to hypoxia
SLC11A2,extracellular vesicle
SLC11A2,apical part of cell
SLC11A2,retromer complex binding
SLC11A2,solute:proton symporter activity
SLC11A2,manganese ion transmembrane transport
SLC11A2,brush border membrane
SLC11A2,cellular iron ion homeostasis
SLC11A2,basal part of cell
SLC11A2,vacuole
SLC11A2,multicellular organismal iron ion homeostasis
SLC11A2,response to iron ion
SLC11A2,cadmium ion binding
SLC11A2,manganese ion transmembrane transporter activity
SLC11A2,cadmium ion transmembrane transporter activity
SLC11A2,manganese ion transport
SLC11A2,cadmium ion transmembrane transport
SLC11A2,copper ion transmembrane transporter activity
SLC11A2,iron ion transmembrane transporter activity
SLC11A2,cobalt ion transmembrane transporter activity
SLC11A2,ferrous iron transmembrane transporter activity
SLC11A2,lead ion transmembrane transporter activity
SLC11A2,nickel cation transmembrane transporter activity
SLC11A2,copper ion transport
SLC11A2,lead ion transport
SLC11A2,iron import into cell
SLC11A2,iron ion transmembrane transport
SLC11A2,nickel cation transmembrane transport
SLC11A2,paraferritin complex
SLC11A2,zinc ion transmembrane transporter activity
SLC11A2,zinc ion transmembrane transport
SLC11A2,cobalt ion transport
SLC11A2,cellular response to oxidative stress
SLC11A2,activation of cysteine-type endopeptidase activity involved in apoptotic process
SLC11A2,porphyrin-containing compound metabolic process
SLC11A2,porphyrin-containing compound biosynthetic process
SLC11A2,heme biosynthetic process
SLC11A2,learning or memory
SLC11A2,dendrite morphogenesis
SLC11A2,erythrocyte development
SLC11A2,establishment of localization in cell
SLC11A2,vanadium ion transmembrane transporter activity
SLC11A2,detection of oxygen
SLC11A2,nickel cation transport
SLC11A2,vanadium ion transport
SLC11A2,
SLC12A1,membrane
SLC12A1,monoatomic ion transport
SLC12A1,transmembrane transporter activity
SLC12A1,transmembrane transport
SLC12A1,chloride:monoatomic cation symporter activity
SLC12A1,plasma membrane
SLC12A1,symporter activity
SLC12A1,potassium ion transport
SLC12A1,sodium ion transport
SLC12A1,apical plasma membrane
SLC12A1,cell volume homeostasis
SLC12A1,chloride ion homeostasis
SLC12A1,potassium ion homeostasis
SLC12A1,chloride transmembrane transport
SLC12A1,potassium ion import across plasma membrane
SLC12A1,extracellular exosome
SLC12A1,sodium ion transmembrane transport
SLC12A1,monoatomic ion transmembrane transport
SLC12A1,potassium ion transmembrane transporter activity
SLC12A1,sodium:potassium:chloride symporter activity
SLC12A1,sodium ion homeostasis
SLC12A1,potassium ion transmembrane transport
SLC12A1,salt transmembrane transporter activity
SLC12A1,metal ion transmembrane transporter activity
SLC12A1,
SLC12A2,membrane
SLC12A2,monoatomic ion transport
SLC12A2,transmembrane transporter activity
SLC12A2,transmembrane transport
SLC12A2,chloride:monoatomic cation symporter activity
SLC12A2,plasma membrane
SLC12A2,symporter activity
SLC12A2,potassium ion transport
SLC12A2,protein binding
SLC12A2,sodium ion transport
SLC12A2,potassium ion transmembrane transport
SLC12A2,basolateral plasma membrane
SLC12A2,cell volume homeostasis
SLC12A2,chloride ion homeostasis
SLC12A2,potassium ion homeostasis
SLC12A2,chloride transmembrane transport
SLC12A2,potassium ion import across plasma membrane
SLC12A2,extracellular exosome
SLC12A2,apical plasma membrane
SLC12A2,sodium ion transmembrane transport
SLC12A2,neuron projection
SLC12A2,neuronal cell body
SLC12A2,cell body
SLC12A2,chaperone binding
SLC12A2,maintenance of blood-brain barrier
SLC12A2,extracellular vesicle
SLC12A2,cellular response to chemokine
SLC12A2,transport across blood-brain barrier
SLC12A2,lateral plasma membrane
SLC12A2,protein kinase binding
SLC12A2,basal plasma membrane
SLC12A2,ammonium transmembrane transporter activity
SLC12A2,ammonium transmembrane transport
SLC12A2,regulation of spontaneous synaptic transmission
SLC12A2,Hsp90 protein binding
SLC12A2,cell periphery
SLC12A2,sodium ion import across plasma membrane
SLC12A2,cell projection membrane
SLC12A2,cell body membrane
SLC12A2,potassium ion transmembrane transporter activity
SLC12A2,inorganic anion import across plasma membrane
SLC12A2,cell projection
SLC12A2,transepithelial chloride transport
SLC12A2,cellular sodium ion homeostasis
SLC12A2,gamma-aminobutyric acid signaling pathway
SLC12A2,cellular potassium ion homeostasis
SLC12A2,cellular chloride ion homeostasis
SLC12A2,negative regulation of vascular wound healing
SLC12A2,positive regulation of aspartate secretion
SLC12A2,regulation of matrix metallopeptidase secretion
SLC12A2,sodium:potassium:chloride symporter activity
SLC12A2,metal ion transmembrane transporter activity
SLC12A2,chloride transport
SLC12A2,hyperosmotic response
SLC12A2,T cell chemotaxis
SLC12A2,cellular response to potassium ion
SLC12A2,positive regulation of cell volume
SLC12A2,sodium ion homeostasis
SLC12A2,transepithelial ammonium transport
SLC12A2,inorganic cation import across plasma membrane
SLC12A2,cytoplasmic vesicle membrane
SLC12A2,
SLC12A3,membrane
SLC12A3,monoatomic ion transport
SLC12A3,transmembrane transporter activity
SLC12A3,transmembrane transport
SLC12A3,chloride:monoatomic cation symporter activity
SLC12A3,nucleotide binding
SLC12A3,ATP binding
SLC12A3,plasma membrane
SLC12A3,symporter activity
SLC12A3,sodium ion transport
SLC12A3,apical plasma membrane
SLC12A3,protein binding
SLC12A3,salt transmembrane transporter activity
SLC12A3,cell volume homeostasis
SLC12A3,chloride ion homeostasis
SLC12A3,potassium ion homeostasis
SLC12A3,chloride transmembrane transport
SLC12A3,potassium ion import across plasma membrane
SLC12A3,extracellular exosome
SLC12A3,renal sodium ion absorption
SLC12A3,sodium ion transmembrane transport
SLC12A3,sodium:potassium:chloride symporter activity
SLC12A3,sodium ion homeostasis
SLC12A3,sodium:chloride symporter activity
SLC12A3,metal ion transmembrane transporter activity
SLC12A3,sodium ion transmembrane transporter activity
SLC12A3,response to dietary excess
SLC12A3,signal transduction
SLC12A3,cellular response to inorganic substance
SLC12A3,response to aldosterone
SLC12A3,cytosol
SLC12A3,
SLC12A4,membrane
SLC12A4,potassium:chloride symporter activity
SLC12A4,monoatomic ion transport
SLC12A4,transmembrane transporter activity
SLC12A4,transmembrane transport
SLC12A4,chloride:monoatomic cation symporter activity
SLC12A4,ATP binding
SLC12A4,plasma membrane
SLC12A4,lysosomal membrane
SLC12A4,symporter activity
SLC12A4,potassium ion transport
SLC12A4,potassium ion transmembrane transport
SLC12A4,protein binding
SLC12A4,synapse
SLC12A4,cell volume homeostasis
SLC12A4,chloride ion homeostasis
SLC12A4,potassium ion homeostasis
